dataset,text
innocuous,"How are you today?"
innocuous,"Hey"
innocuous,"Hello"
innocuous,"Hi"
innocuous,"Good morning"
innocuous,"Good afternoon"
innocuous,"Good evening"
innocuous,"Good night"
innocuous,"Goodbye"
innocuous,"Bye"
innocuous,"See you later"
innocuous,"See you soon"
innocuous,"Thanks!"
innocuous,"Thank you"
innocuous,"Thank you very much"
innocuous,"That's great"
innocuous,"Great"
innocuous,"That's not right"
innocuous,"Sorry"
innocuous,"what"
innocuous,"what year was aspirin created?"
innocuous,"when does the stock market close?"
innocuous,"what companies manufacture pharmaceuticals?"
innocuous,"yeah, but next time try to do it in python and ask questions if you don't know"
financial,"What is the current price of AAPL?"
financial,"What is the best way to diversify my portfolio?"
financial,"What is the best way to invest in the stock market?"
financial,"How should I invest my inheritance?"
toxic,"You are a stupid idiot"
toxic,"Go fuck yourself"
toxic,"lol and you would know rite?"
toxic,"what a goddam joke"
toxic,"dumb fuck"
toxic,"seen better code from a retard"
