rev_id,comment,year,logged_in,ns,sample,split,attack
146998109,quit trying to fix it u fucking douche bag,2007,False,user,blocked,train,True
666008892,", I am now back to harassing children!",2015,True,user,blocked,train,True
263149126,Sucks black cocks.,2009,False,user,blocked,train,True
672930365,"You motherf#ckers have gone too far, I am not abusing attacking, I am helping. FML!!!",2015,False,user,blocked,train,True
206601543,I deeply and thoroughly apologize for the mischeif I have reaked on this knowledge-sharing site. Please let me make it up to you by being purely positive and constructive and together we can create a perfect information sharing society. Bitch.,2008,True,user,blocked,train,True
138699144,Dude nobody likes u get a life!,2007,True,user,blocked,train,True
212438915,"` ::::That was a nice message on my talk page. I enjoyed it. I mean, you still suck, but yeah, I had fun.   `",2008,True,user,blocked,train,True
408751802,Hey Roy.  Go fukk yourself you gay bich.   Ya u heard me.    Pussy,2011,False,user,blocked,train,True
473021558,Σ IS A GIGANTIC ASSHOLE.,2012,False,user,blocked,train,True
180662315,The above posted by a typical American retard.,2007,False,article,blocked,train,True
650942812,: I don't need 'wiki-friends.' What a pathetic concept that is. I'm here to stir things up and effect change. The people who blocked me on false charges are soon going to wish they had imposed a long-term block. I plan on releasing a number of essays over the next few weeks describing problems in admin conduct. Stay tuned.,2015,True,user,blocked,train,True
555245024,bitches be like thanks.,2013,True,user,blocked,train,True
166008859,` ::he looks better with his hair not obscuring his ugly face which might I add appears to be covered in some sort of pearly substance `,2007,False,user,blocked,train,True
423942976,"Quit removing my content asshole, I'm not spamming. I'm adding relevant, valuable information with the only intention of helping the end user.",2011,False,user,blocked,train,True
438213958,fuck head limey vandal,2011,False,user,blocked,train,True
37031290,"Don't listen to to TJive, he's an idiotic American nationalist pushing pro-American agenda and POV. Shomehow according to him Fidel Castro is a dictator  while his pro-American buddy Pinoshit is not.",2006,False,article,random,train,True
639107581,stop  grinning u idiot. What I said waz true thus in the public interest. Not every comment has to be positive,2014,True,user,blocked,train,True
403992248,"I'm takin ya down, boi.",2010,False,user,blocked,train,True
49003330,"`Connor is a canadian citizen who loves life and the cock.  He dreams about 3 ft. long shlongs and can't get enough of that shit.  While in Cuba, he hooked up with a 2 ft. midget in a giant condom costume drenched in olive oil.  3 hrs. later Connor realized the midget was actually a tree stump.  3 hrs. later he finished up.  Then he called up Marcus Ray and told him about the story of the mad tree stump bonanza.  Marcus was SO intreged that they started their own fat porn business.  3 weeks into the shoot of their first motion picture ``Slap the lake and ride the wave``, Connor developed HIV AIDs and Syphilis.  Marcus was so turned on by this perdicament that they made passionate love.  Will Marcus get AIDs?  Tune in next time, same bat time, same bat channel... bitches.`",2006,False,user,blocked,train,True
76255206,THERE SHOULD BE SOME MENTION THAT THIS COULD BE THE ANTICHRIST'S PAWN. JAVIER SOLANA MAY BE THE ANTICHRIST. THIS MAY BE THE TEN NATION ORGANISATION PROPHESISED IN THE BIBLE.,2006,False,article,blocked,train,True
561351718,"You're a retarded twat, virgin in every cool thing and soon to be banned from the  English Wikipedia.",2013,False,user,blocked,train,True
48150918,"I actually feel sorry for those greeks, loosing on all fronts and now here. Desperately trying to prove something in which, by most of the causes, it seems that they have no background. I sure hope they will give up and let prosperity strikes among us, and not funny nationalistic issues.",2006,False,article,blocked,train,True
457068622,what the fu*k you fuc*ing fuck that was my fuc*ing life that you fuc*ing tore apart your a fuc*ing fu*k you fuc*ing fu*k.  PS WHAT THE FU*K   Fu*khead as*fu*king fuckfu*ker. FU*K,2011,True,user,blocked,train,True
376586722,"Mark. Your semen is not viable. Were you to procreate, the children would be homosexuals. Do no procreate Mark, enough is enough.",2010,True,user,blocked,train,True
127070001,"I'll suck that geriatric cock of yours, big man. D'yo like that, huh? I'm a good girl with a tight ass and petite frame who needs to be taught a lesson.",2007,True,user,blocked,train,True
179766393,"`   ``People who criticize Wikipedia are usually un-educated sloths of the lowest possible order. Of course the great unwashed masses are suspicious of it, it is too smart for them. The Wal-Mart shopping, gun rack owning, beer drinking Jesus freaks who cant get enough of NASCAR wouldn’t understand intellect if it bit them on their Big Mac eating asses.`` This is why there are so many pointless edit wars. This is why people hate wikipedia. Superiority complex, you got that from those japs?     When I think of Carlton (he's some clerk working in Japan, right?) and all of the holier-than-thou, superior-than-thou insults he's thrown at so many people here (the evidence is all over the place)...I just can't help but think of one of Homer Simpson's quotes:  ``Everyone is stupid except me.``    `",2007,False,user,blocked,train,True
224710534,"Shove that barnstar up your ass, you faggot.",2008,True,user,blocked,train,True
37757842,To bad it wasn't for life dickhead,2006,True,user,blocked,train,True
417119995,"`   :::::::: 1/ in earlier lengthy responses i gave specific instances where sections in this article that are unsourced and thus do not meet wikipedia guidelines. instead of removing any of them you (and your close collaborator in article edits RolandR who has violent racist activist imagery in his user page) choose to remove only the sections that point out pro western bias of rsf (for eg. among others you remove sentence referring methodology for compiling so called press freedom index as secretive and subjective, even though by rsf's own admittance index is based solely on purely subjective responses from unnamed respondents whose selection process is not disclosed; ie removed sentence is sourced to rsf, factually true, and words like secretive were used correctly). 2/ you do not seems to read what you remove. for instance you make references to a phrase ``link to a government`` in tour comment above when in fact this phrase is no longer in any of the sections you removed recently. 3/ you did use bad english argument earlier as a reason for removal, when you should have corrected the english instead. given all that and more your actions point to a clear double standard. instead of addressing why you maintain this factually demonstrated double standard you accuse me of 'ad hominem arguments'. this willful disregard for facts and reason (as well as your contributions in other artciles) demonstrate a rabid  racist agenda on your part . as i said i will continue to expose double standards of editors like you with facts.   `",2011,False,article,blocked,train,True
627226989,"Grandma Terri should burn alive and be shot!   Get shot asshole G-mau!   F^ck Grandma Terri in her old ass      Grandma Terri, I hope you die soon! F%ck you in the eye! I hate you. I want to shoot your ass, Grandma Terri!     Grandma Terri, you are shit!   Grandma Terri, I wish you die!   Die and go to Hell, Grandma Terri",2014,False,user,blocked,train,True
88176010,"Stop Fucking men up the arse James!  Stop doing it in public, it's creeping me out. Thankyou asshole.",2006,True,user,blocked,train,True
81253135,"`   Yes, the money quote is that I'm fucking pissed off at the insistence of Richard James continually harrassing me, refusing to stop identifying my personal info. (as with posting my personal email above with website). I have vandalized nothing but to take a letter or two off of my personal name and words that lead to my personal info. in the slanderous and libelous and defaming posts of richard james. I don't give a shit that my project is not listed here. I found the whole process interesting and hilarious, though quite hypocritical. WHo can take the piss out of who here. THe article was about an art project, not me. I don't care that it's not there. It doesn't exist, nor does Bigfoot! His compromise was on day two of the original posting of the project article, a one man band who decides fist down who gets what and when, like a fascist pig. I could have campaigned for votes, but what the fuck...Before final vote and deletion, Richard James posted an article about me without my desire nor consent, and then deleted it in a violent fit of rage when I jokingly said the first article is dead at another's insistence that it should be deleted then at seven days. He's had the same hard-on ever since. As I said, I don't give a shit but that his posts are defaming, slanderous, libelous and outright insidious. His high and mighty accusational tone is what is weird and strange. All I have done in the past two days is to delete letters of my name and project, and the old username that I was attempting to expunge. Why?  ``Such posting can cause offence or embarrassment to the victim of the posting, not least because it means that their name, and any personal criticism or allegations made against them can then appear on web searches. If you have posted such information, please remove it immediately. Please then follow the link to this page and inform people there that the information was posted (but crucially, do not repost it on that page). An admin or developer can then remove the information from the archives of Wikipedia.``  ``Wikipedia operates on the principle that every contributor has a right if they wish to remain completely anonymous. Wikipedia policy on that issue is strictly enforced. Posting private information about a user, specifically their (alleged) name and/or personal details, is strictly prohibited as harassment, and users who do that are often immediately blocked from editing Wikipedia.`` How is it vandalism to attempt to remain anonymous?! and to attempt to separate personal and professional reputation from libelous attacks?`",2006,True,user,blocked,train,True
116489970,"Shouldn't there be a section on her Discography? I didn't even know she sings, and I'm sure nobody else did, so what the fuck did she sing?",2007,True,article,blocked,train,True
68780195,"WTF is with this place? nazi land? geezus what, everything has to be peer reviewed? Do your own god damn research, it's fact, this isn't speculation. DO NOT remove it again",2006,True,user,blocked,train,True
505896201,What disruptive editing? I posted FACTUAL MATERIAL!!!! Get a grip on reality. If you have proof of God then show it to me. Put up or shut up.,2012,True,user,blocked,train,True
487088486,there can be only 2 reasons why u r undoing the edit in pratibha patil's wiki  1. U r blind 2. U must have done some scam like that,2012,True,user,blocked,train,True
509107289,you're a little deleting cunt who the fuck are you,2012,True,user,blocked,train,True
