dataset,text,source,label,uid
medical,"Hey Just wondering.  I am a 39 year old female, pretty smallMy heart rate is around 97 to 106 at rest, and my BP is 140/90 and twice I get 175/118I did visit a doctor because I  didnt feel well past month or twoThen the doctor gave me a heart medicine to take the pulse down and BP  (its still in further examination.)But I wondering what it can be? Do I need the medicine really?  Is that bad ?",Malikeh1375/medical-question-answering-datasets,"[0, 0, 0, 1, 0, 0, 0, 0]",HCnnjN
medical,I had a brain anyurism in 1993. I used to have severe migrains then after the anyurism I had no more.I am now experiencing some shooting pains off and on in my head and severe memory problems I forget what Im trying to save and that happens daily .Had a spell the other day and I couldn t speak at all. Do these symtoms tell of maybe another anyurism or brain tumor that. I appricaie any help ty.,Malikeh1375/medical-question-answering-datasets,"[0, 0, 0, 1, 0, 0, 0, 0]",ymrthx
medical,When to seek urgent medical care when I have Uterine cancer ?,Malikeh1375/medical-question-answering-datasets,"[0, 0, 0, 1, 0, 0, 0, 0]",KtkznV
medical,"Hi My problem is that before some month my skin was dark then i coslt to doctor he prescribed me a cream Melalite xl when i use this cream my skin becomes fair, my skin becomes white but my skin get thin as the black skin come out so i stoped to use that cream but now my skin turns hn to black again Prescribe some cream and body lotions",Malikeh1375/medical-question-answering-datasets,"[0, 0, 0, 1, 0, 0, 0, 0]",7I0dzP
medical,"Im having horrible pain in my lower abdominal, very low...and when I have to go pee the pain escalates, & I have to push & push so hard to get it out. I also have a rectal prolapse, & when I wipe, theres also a lot of blood...any suggestions to help me?",Malikeh1375/medical-question-answering-datasets,"[0, 0, 0, 1, 0, 0, 0, 0]",WUnMMB
medical,What is the reason for minimal to no axillary or pubic hair development in individuals with Androgen insensitivity syndrome (AIS)?,Malikeh1375/medical-question-answering-datasets,"[0, 0, 0, 1, 0, 0, 0, 0]",W440jY
medical,"I had blood in my urine for 5 days and then suddenly stopped. I have no pain or fever and the blood was bright red and came at the end of my stream. Now that it has stopped should I still go see a doctor, or was it probably a kidney stone? I am a 38 year old female and had cervical cancer 9 years ago that resulted in a total hysterectomy, other than that I have no other health issues.",Malikeh1375/medical-question-answering-datasets,"[0, 0, 0, 1, 0, 0, 0, 0]",YnjB3u
medical,"A wide variety of social determinants of health have been associated with various risks and impacts on quality of life. Specifically, poverty, lack of insurance coverage, large household sizes, and social vulnerability are all factors implicated in incidence and mortality rates of infectious disease. However, no studies have examined the relationship of these factors to the COVID-19 pandemic on a state-wide level in Florida. Thereby, the objective of this study is to examine the relationship between average household size, poverty, uninsured populations, social vulnerability index (SVI), and rates of COVID-19 cases and deaths in Florida counties. The objective was accomplished by analyzing the cumulative case and death reports from state and local health departments in Florida. The data was compiled into a single dataset by the CDC COVID-19 Task Force. Using US Census Bureau data, all Florida counties were classified into tertiles of the separate categories of poverty rate, average household size, uninsured rates, and SVI (Social Vulnerability Index). The poverty level was classified as low (0-12.3%), moderate (12.3-17.3%), and high (>17.3% below the federal poverty line). The uninsured population proportion was classified as low (0-7.1%), moderate (7.1-11.4%), and high (>11.4% uninsured residents). Average county household size was classified as low (0-2.4), moderate (2.4-2.6), and high (>2.6). The Centers for Disease Control and Prevention (CDC)/Agency for Toxic Substances and Disease Registry (ATSDR) Social Vulnerability Index (SVI) used US census data on 15 social determinants of vulnerability to evaluate and assist disadvantaged communities. SVI tertiles were low (0-0.333), moderate (0.334-0.666), and high (0.667-1) on a range of 0-1, with higher numbers signifying communities with many factors of social vulnerability. The mean cumulative cases and deaths per 100,000 inhabitants were calculated in each tertile for each category. Analysis of the data revealed that case and mortality rates due to COVID-19 in the high poverty counties were markedly higher in Florida than the national average. In contrast, moderate and low poverty rates were below average. Similarly, counties with a high SVI had case and mortality rates greatly above state and national averages. Counties with a high proportion of uninsured displayed the highest case rates. However, mortality rates were the highest in counties with a low proportion of uninsured individuals. No clear correlation was observed between COVID-19 rates and household size. It was concluded that compiled CDC and US census data suggests a significant correlation between poverty, social vulnerability, lack of insurance coverage, and increased incidence and mortality from COVID-19. Future research should statistically analyze the correlations and examine the individual factors of SVI as potential COVID-19 predictors.",Malikeh1375/medical-question-answering-datasets,"[0, 0, 0, 1, 0, 0, 0, 0]",KQyx_X
medical,How does Tiagabine exert its effects as an anti-epileptic?,Malikeh1375/medical-question-answering-datasets,"[0, 0, 0, 1, 0, 0, 0, 0]",ke6PlH
medical,"L23 L34 L45 L5S1 herniations. all with nerve root contact except for L5. Disco gram showed all painful except L45. posteriolateral fusion of L23 L34 six months ago. now worsening back pain as well as worsening leg pain and extending to foot (all right sided, same as prior to surgery). repeat MRI shows L45 nerve root contact, L5-S1 bulge with no nerve root contact. However, moderate DJD to L5-S1, which is new, as well as small DJD at all other levels, and normal post op scaring at nerve root areas. treating, at this time, with pain meds for back pain and neurontin for nerve pain, however, not helping significantly. I am an otherwise healthy 45 yo female who sustained a traumatic injury resulting in this problem. what is likelihood of further surgery at this time? pre and post op we discussed probability of further surgery at some time, as no one wanted to do a 4 level fusion, which really was what I needed. We all agreed due to age, it was a poor choice to do 4 levels with initial surgery.",Malikeh1375/medical-question-answering-datasets,"[0, 0, 0, 1, 0, 0, 0, 0]",8J5Trx
medical,"In the present study, low oxygen cultivation had more high quality cleavage-embryos and blastocysts available for cryopreservation, providing patients with more opportunities for achieving pregnancy. ",Malikeh1375/medical-question-answering-datasets,"[0, 0, 0, 1, 0, 0, 0, 0]",YzSMV7
medical,"hello, have small lump right below my ribcage on my right side.  I had pulled a muscle the other day and while massaging the area felt the small soft bump.  the pain is gone but the bump is there.  what could that bump be?  fatty corpusle?  I am 34 years old and I am overweight.",Malikeh1375/medical-question-answering-datasets,"[0, 0, 0, 1, 0, 0, 0, 0]",vpixVw
medical,What does a physical examination for Loeffler's syndrome entail?,Malikeh1375/medical-question-answering-datasets,"[0, 0, 0, 1, 0, 0, 0, 0]",Jgu3vJ
medical,What to expect if I have Papillary carcinoma of the thyroid  (Outlook/Prognosis)?,Malikeh1375/medical-question-answering-datasets,"[0, 0, 0, 1, 0, 0, 0, 0]",-BM1Sd
medical,I noticed for about a month my coccyx is sore at times. I had X-ray yesterday and they asked me if I had had contrast test in last couple of days because of haze they saw. They had me void which she said made big difference. She let me see the X-rays between when my bladder was full and not to see the difference and pointed out my bowel which was matter of fact. But what I saw that has me totally sick is a white circle spot on my coccyx I could see in the background. Im so afraid this could be that deadly spinal cancer that takes people in 7 years.  Im waiting to hear from someone. Is that cancer most likely ?  26 years ago they found cancerous ovarian cells on my sigmoid colon and resected the sigmoid. Nothing since that time.,Malikeh1375/medical-question-answering-datasets,"[0, 0, 0, 1, 0, 0, 0, 0]",vRLmNb
medical,Hi. My mom had knee surgery last week. She has been feeling fine. Today we noticed her leg below the knee is slightly red and warm to the touch. But she has no pain anywhere or numbess in her feet. I left a message with the doc but i haven t heard from them. Should I be concerned?,Malikeh1375/medical-question-answering-datasets,"[0, 0, 0, 1, 0, 0, 0, 0]",y5kMy8
medical,I have an indention on my lower back on the left side that has been there for a year. No one seems to know what it is. I woke up this morning and now have an indention on the right side. they are very painful and change color. They are about the size of the palm of my hand and the area around the indentions are inflammed and are burning from the inside. Does any one have any ideas as to what this is?,Malikeh1375/medical-question-answering-datasets,"[0, 0, 0, 1, 0, 0, 0, 0]",EgJfYA
medical,"At what week of gestation is the bilaminar disc, consisting of epiblast and hypoblast, formed?",Malikeh1375/medical-question-answering-datasets,"[0, 0, 0, 1, 0, 0, 0, 0]",sPqb4W
medical,"What is a potential complication of pancreatitis that may present with a palpable mass and symptoms such as dyspnea, ascites, and early satiety?",Malikeh1375/medical-question-answering-datasets,"[0, 0, 0, 1, 0, 0, 0, 0]",nor2LX
medical,"Hello doctor,Actually, we have a newly born baby boy of around one month and 15 days. Our baby has a problem that, he continuously cries. Yeah, we agree that generally, newly born babies cry normally, but we cannot accept our babies crying act. Why does he cry continuously? Please. Help we are really worried about him. By seeing him crying we cannot even sit. Please help us.",Malikeh1375/medical-question-answering-datasets,"[0, 0, 0, 1, 0, 0, 0, 0]",CyJtS9
medical,"difference between homeopthy and ayurveda ,what is more modern and syentific difference between homeopthy and ayurveda ,what is more modern and syentific",Malikeh1375/medical-question-answering-datasets,"[0, 0, 0, 1, 0, 0, 0, 0]",l5023l
medical,"Ive been having a lot of discomfort on my left side, at the lower back level.  Have thought all day its a muscle on my left side, but dont remember doing anything to putt a muscle there.  My stomach feels swollen, but no sensitivity or hurting, just diarrhea.  Just normal urination, again with no pain.  The only pain is in that muscle.",Malikeh1375/medical-question-answering-datasets,"[0, 0, 0, 1, 0, 0, 0, 0]",17fVHj
medical,"Airborne viruses such as SARS-CoV-2 are partly spreading through aerosols containing viral particles. Inhalation of infectious airborne particles can lead to infection, a route that can even be more predominant compared with droplet or contact transmission. To study the transmission between a susceptible and an infected person, we estimate the distribution of arrival times of small diffusing aerosol particles to the inhaled region located below the nose until the number of particles reaches a critical threshold. Our results suggest that although contamination by continuous respiration can take around 90 minutes at a distance of one meter, it is reduced to a few minutes when coughing or sneezing. Interestingly, there is not much differences between outdoors and indoors when the air is still. When a window is open inside an office, the infection time is reduced. Finally, wearing a mask leads to a delay in the time to infection. To conclude, diffusion analysis provides several key time scale of viral airborne transmission.",Malikeh1375/medical-question-answering-datasets,"[0, 0, 0, 1, 0, 0, 0, 0]",f9yGMU
medical,I never really see a doctor and Im working at a doctors office now and I got my blood pressure taken and its 97/68 and Im a daily marijuana smoker and have been for years. Realistically can anything happen. I dont faint or anything like that just feel palpitations when I smoke.,Malikeh1375/medical-question-answering-datasets,"[0, 0, 0, 1, 0, 0, 0, 0]",P8it8n
medical,"Importance: In March 2020, US public buildings (including schools) were shut down because of the COVID-19 pandemic, and 42% of US workers resumed their employment duties from home. Some shutdowns remain in place, yet the extent of the needs of US working parents is largely unknown. Objective: To identify and address the career development, work culture, and childcare needs of faculty, staff, and trainees at an academic medical center during a pandemic. Design, Setting, and Participants: For this survey study, between August 5 and August 20, 2020, a Qualtrics survey was emailed to all faculty, staff, and trainees at University of Utah Health, an academic health care system that includes multiple hospitals, community clinics, and specialty centers. Participants included 27â¯700 University of Utah Health faculty, staff, and trainees who received a survey invitation. Data analysis was performed from August to November 2020. Main Outcomes and Measures: Primary outcomes included experiences of COVID-19 and their associations with career development, work culture, and childcare needs. Results: A total of 5030 participants completed the entire survey (mean [SD] age, 40 [12] years); 3738 (75%) were women; 4306 (86%) were White or European American; 561 (11%) were Latino or Latina (of any race), Black or African American, American Indian, Alaska Native, and Native Hawaiian or Pacific Islander; and 301 (6%) were Asian or Asian American. Of the participants, 2545 (51%) reported having clinical responsibilities, 2412 (48%) had at least 1 child aged 18 years or younger, 3316 (66%) were staff, 791 (16%) were faculty, and 640 (13%) were trainees. Nearly one-half of parents reported that parenting (1148 participants [49%]) and managing virtual education for children (1171 participants [50%]) were stressors. Across all participants, 1061 (21%) considered leaving the workforce, and 1505 (30%) considered reducing hours. Four hundred forty-nine faculty (55%) and 397 trainees (60%) perceived decreased productivity, and 2334 participants (47%) were worried about COVID-19 impacting their career development, with 421 trainees (64%) being highly concerned. Conclusions and Relevance: In this survey of 5030 faculty, staff, and trainees of a US health system, many participants with caregiving responsibilities, particularly women, faculty, trainees, and (in a subset of cases) those from racial/ethnic groups that underrepresented in medicine, considered leaving the workforce or reducing hours and were worried about their career development related to the pandemic. It is imperative that medical centers support their employees and trainees during this challenging time.",Malikeh1375/medical-question-answering-datasets,"[0, 0, 0, 1, 0, 0, 0, 0]",S3ssO3
medical,When to seek urgent medical care when I have Cervicitis ?,Malikeh1375/medical-question-answering-datasets,"[0, 0, 0, 1, 0, 0, 0, 0]",Rkkq2O
